test	keyboard	expected	got	edits
T1 centre 30/30ms	banglu	the quick brown fox jumps over the lazy dog	the quick brown fox jumps over the lazy dog	0
T2 short 12ms taps 50ms gap	banglu	the quick brown fox jumps over the lazy dog	the quick brown fox jumps over the lazy dog	0
T3 rollover overlap 25ms	banglu	the quick brown fox jumps over the lazy dog	ptheq auickb rrownf oxj umpso vert hel azyd og	17
T4 slide +24px in press	banglu	the quick brown fox jumps over the lazy dog	the quick brown fox jumps over the lazy dog	0
T5 right-edge taps (+38% key)	banglu	the quick brown fox jumps over the lazy dog	the quick brown fox jumps over the lazy dog	0
T6 bottom-edge taps (+40% row)	banglu	the quick brown fox jumps over the lazy dog	the quick brown fox jumps over the lazy dog	0
T7 gaussian jitter 14px	banglu	the quick brown fox jumps over the lazy dog	the quick brown fox jumps over the lazy dog	0
T8 gaussian jitter 22px	banglu	the quick brown fox jumps over the lazy dog	the quick brown doc jumps over the lazy dog	2
