t	phase	nativePss	nativeSize	nativeAlloc	nativeFree	dalvikPss	dalvikAlloc	totalPss
   0.2	boot+0s	21.8	33.6	15.1	14.6	23.6	24.4	78.2
   5.4	boot+5s	20.3	33.6	15.1	14.6	27.8	24.4	83.5
  10.6	boot+10s	20.3	33.6	15.1	14.6	27.8	24.4	83.4
  15.8	boot+15s	20.3	33.6	15.1	14.6	27.8	24.4	83.4
  21.0	boot+20s	20.3	33.6	15.1	14.6	27.8	24.4	83.4
  26.2	boot+25s	20.3	33.6	15.1	14.6	27.8	24.4	83.4
  31.4	boot+30s	20.3	33.6	15.1	14.6	27.8	24.4	83.4
  36.6	boot+35s	20.3	33.6	15.1	14.6	27.8	24.4	83.4
  41.8	boot+40s	20.3	33.6	15.1	14.6	27.8	24.4	83.4
  47.0	boot+45s	20.3	33.6	15.1	14.6	27.8	24.4	83.4
  52.1	boot+50s	20.3	33.6	15.1	14.6	27.8	24.4	83.5
  57.3	boot+55s	20.3	33.6	15.1	14.6	27.8	24.4	83.5
  68.8	typing-burst-1	198.4	212.6	36.3	172.2	70.3	32.1	318.2
  75.7	typing-burst-2	130.0	213.6	17.6	191.9	61.6	30.8	241.6
  82.6	typing-burst-3	195.7	215.6	17.1	194.8	54.2	28.9	300.1
  96.0	idle-after-typing+10s	162.4	215.6	131.0	80.9	48.5	29.3	261.3
 106.2	idle-after-typing+20s	120.7	215.6	16.2	195.8	32.7	25.2	203.8
 116.4	idle-after-typing+30s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 126.6	idle-after-typing+40s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 136.8	idle-after-typing+50s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 146.9	idle-after-typing+60s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 157.1	idle-after-typing+70s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 167.3	idle-after-typing+80s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 177.5	idle-after-typing+90s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 187.6	idle-after-typing+100s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 197.8	idle-after-typing+110s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 208.0	idle-after-typing+120s	120.7	215.6	16.2	195.8	28.6	25.2	199.7
 211.2	after-trim-RUNNING_CRITICAL	120.7	215.6	16.2	195.8	28.6	18.8	199.7
 214.5	after-trim-COMPLETE	109.6	215.6	16.2	195.8	22.2	18.8	182.1
 234.6	final	109.6	215.6	16.2	195.8	22.2	18.8	182.1
