t	phase	nativePss	nativeSize	nativeAlloc	nativeFree	dalvikPss	dalvikAlloc	totalPss
   0.1	boot+0s	2.7	14.9	8.0	2.3	4.8	5.6	14.2
   5.3	boot+5s	18.4	30.9	14.4	12.3	92.3	44.1	148.5
  10.5	boot+10s	18.4	31.1	14.4	12.4	47.5	44.1	102.9
  15.6	boot+15s	18.4	31.1	14.4	12.4	47.5	44.1	102.9
  20.8	boot+20s	18.4	31.1	14.4	12.4	47.5	44.1	102.9
  26.0	boot+25s	18.4	31.1	14.4	12.4	47.5	44.1	102.9
  31.2	boot+30s	18.4	31.1	14.4	12.4	47.5	44.1	102.9
  36.4	boot+35s	18.7	31.6	14.4	12.8	47.5	44.1	103.1
  41.5	boot+40s	18.7	31.6	14.4	12.8	47.5	44.1	103.1
  46.7	boot+45s	18.7	31.6	14.4	12.8	47.5	44.1	103.1
  51.9	boot+50s	18.7	31.6	14.4	12.8	47.5	44.1	103.3
  57.1	boot+55s	18.7	31.6	14.4	12.8	47.5	44.1	103.3
  67.8	typing-burst-1	102.3	124.1	65.9	53.8	75.4	52.3	220.9
  74.1	typing-burst-2	117.7	141.1	53.3	83.9	67.4	54.3	228.7
  80.4	typing-burst-3	74.7	142.9	22.7	115.9	87.5	53.3	210.9
  93.8	idle-after-typing+10s	113.4	143.1	105.6	33.1	96.0	51.3	258.2
 104.0	idle-after-typing+20s	111.4	143.4	16.0	122.8	54.7	45.1	214.8
 114.2	idle-after-typing+30s	93.2	143.4	16.0	122.8	48.5	45.1	190.2
 124.4	idle-after-typing+40s	93.2	143.4	16.0	122.8	48.5	45.1	190.2
 134.6	idle-after-typing+50s	93.2	143.4	16.0	122.8	48.5	45.1	190.2
 144.7	idle-after-typing+60s	93.2	143.4	16.0	122.8	48.5	45.1	190.2
 154.9	idle-after-typing+70s	93.2	143.4	16.0	122.8	48.5	45.1	190.1
 165.1	idle-after-typing+80s	93.2	143.4	16.0	122.8	48.5	45.1	190.1
 175.3	idle-after-typing+90s	93.2	143.4	16.0	122.8	48.5	45.1	190.1
 185.4	idle-after-typing+100s	93.2	143.4	16.0	122.8	48.5	45.1	190.1
 195.6	idle-after-typing+110s	93.2	143.4	16.0	122.8	48.5	45.1	190.1
 205.8	idle-after-typing+120s	93.2	143.4	16.0	122.8	48.5	45.1	190.2
 209.0	after-trim-RUNNING_CRITICAL	27.2	143.4	15.4	123.4	65.6	25.2	141.4
 212.3	after-trim-COMPLETE	27.2	143.4	15.4	123.4	28.6	25.2	104.2
 232.4	final	27.2	143.4	15.4	123.4	28.6	25.2	104.2
