t	phase	nativePss	nativeSize	nativeAlloc	nativeFree	dalvikPss	dalvikAlloc	totalPss
   0.2	boot+0s	15.2	26.6	7.3	15.5	52.8	30.8	78.3
   5.4	boot+5s	14.7	32.1	13.3	15.1	34.5	30.7	85.4
  10.5	boot+10s	14.7	32.1	13.3	15.1	34.3	30.7	85.2
  15.7	boot+15s	14.7	32.1	13.3	15.1	34.3	30.7	85.2
  20.9	boot+20s	14.7	32.1	13.3	15.1	34.3	30.7	85.2
  26.0	boot+25s	14.7	32.1	13.3	15.1	34.3	30.7	85.2
  31.2	boot+30s	14.7	32.1	13.3	15.1	34.3	30.7	85.2
  36.4	boot+35s	14.7	32.1	13.3	15.1	34.3	30.7	85.2
  41.5	boot+40s	14.7	32.1	13.3	15.1	34.3	30.7	85.2
  46.7	boot+45s	14.7	32.1	13.3	15.1	34.3	30.7	85.2
  51.9	boot+50s	14.7	32.1	13.3	15.1	34.3	30.7	85.3
  57.1	boot+55s	14.7	32.1	13.3	15.1	34.3	30.7	85.3
  67.9	typing-burst-1	101.8	133.9	85.5	44.2	84.0	36.8	228.6
  74.4	typing-burst-2	84.4	135.4	80.1	51.3	78.6	36.6	210.6
  80.9	typing-burst-3	97.9	136.1	80.6	51.4	78.4	36.6	224.6
  94.1	idle-after-typing+10s	84.3	136.1	80.0	52.1	66.4	36.1	198.9
 104.3	idle-after-typing+20s	69.5	136.1	14.9	117.2	39.7	31.6	157.4
 114.5	idle-after-typing+30s	69.5	136.1	14.9	117.2	35.2	31.6	152.9
 124.7	idle-after-typing+40s	69.5	136.1	14.9	117.2	35.2	31.6	152.9
 134.9	idle-after-typing+50s	69.5	136.1	14.9	117.2	35.2	31.6	152.9
 145.1	idle-after-typing+60s	69.5	136.1	14.9	117.2	35.2	31.6	152.9
 155.2	idle-after-typing+70s	69.5	136.1	14.9	117.2	35.2	31.6	152.9
 165.4	idle-after-typing+80s	45.2	136.1	14.9	117.2	35.1	31.6	128.0
 175.6	idle-after-typing+90s	45.2	136.1	14.9	117.2	35.1	31.6	128.1
 185.7	idle-after-typing+100s	45.2	136.1	14.9	117.2	35.1	31.6	128.1
 195.9	idle-after-typing+110s	45.2	136.1	14.9	117.2	35.1	31.6	128.1
 206.1	idle-after-typing+120s	45.2	136.1	14.9	117.2	35.1	31.6	128.1
 209.3	after-trim-RUNNING_CRITICAL	45.2	136.1	14.9	117.2	35.1	25.2	128.1
 212.5	after-trim-COMPLETE	45.2	136.1	14.9	117.2	28.8	25.2	121.7
 232.7	final	45.2	136.1	14.9	117.2	28.8	25.2	121.7
